as_of,symbol,pe,sector_pe,sector,industry,market_cap,market_cap_cr,year_high,year_low,annual_volatility_pct,delivery_pct
2026-07-21,HDFCBANK,14.78,14.58,Financial Services,Private Sector Bank,11728110885158.0,1172811,1020.5,726.65,26.56,62.69
2026-07-21,INFY,14.97,14.53,Information Technology,Computers - Software & Consulting,4344043895398.0,434404,1728.0,982.4,35.54,57.15
2026-07-21,ITC,17.16,16.96,Fast Moving Consumer Goods,Diversified FMCG,3523286466838.4,352329,427.0,275.0,23.5,48.06
2026-07-21,RELIANCE,20.36,20.36,Oil Gas & Consumable Fuels,Refineries & Marketing,17654550016721.2,1765455,1611.8,1253.2,25.98,58.77
2026-07-21,TCS,16.27,15.09,Information Technology,Computers - Software & Consulting,8028536202442.0,802854,3350.0,1976.8,32.48,48.53
